id,lat,lng
Southland,-45.9466647235,167.8712599879
Otago,-45.3669281538,169.870771226
Canterbury,-43.4920322467,172.1174767695
West Coast,-43.0192007792,170.5301137868
Tasman,-41.3307252195,172.8645476313
Marlborough,-41.5078604579,173.8203574916
Nelson,-41.1201628698,173.4028734522
Wellington,-41.1803180185,175.352870236
Manawatu-Wanganui,-39.9300163669,175.5562032405
Taranaki,-39.3123307938,174.2762829675
Hawke's Bay,-39.3886439803,176.9294968654
Waikato,-37.8958116899,175.1991326074
Bay of Plenty,-38.0170361322,176.8306266415
Gisborne,-38.2718444196,178.1325100263
Auckland,-36.5609846347,174.7818470787
Northland,-35.3787527874,173.77109775
